DATE,GDP
1987-01-01,4722.156
1987-02-01,4722.156
1987-03-01,4722.156
1987-04-01,4806.16
1987-05-01,4806.16
1987-06-01,4806.16
1987-07-01,4884.555
1987-08-01,4884.555
1987-09-01,4884.555
1987-10-01,5007.994
1987-11-01,5007.994
1987-12-01,5007.994
1988-01-01,5073.372
1988-02-01,5073.372
1988-03-01,5073.372
1988-04-01,5190.036
1988-05-01,5190.036
1988-06-01,5190.036
1988-07-01,5282.835
1988-08-01,5282.835
1988-09-01,5282.835
1988-10-01,5399.509
1988-11-01,5399.509
1988-12-01,5399.509
1989-01-01,5511.253
1989-02-01,5511.253
1989-03-01,5511.253
1989-04-01,5612.463
1989-05-01,5612.463
1989-06-01,5612.463
1989-07-01,5695.365
1989-08-01,5695.365
1989-09-01,5695.365
1989-10-01,5747.237
1989-11-01,5747.237
1989-12-01,5747.237
1990-01-01,5872.701
1990-02-01,5872.701
1990-03-01,5872.701
1990-04-01,5960.028
1990-05-01,5960.028
1990-06-01,5960.028
1990-07-01,6015.116
1990-08-01,6015.116
1990-09-01,6015.116
1990-10-01,6004.733
1990-11-01,6004.733
1990-12-01,6004.733
1991-01-01,6035.178
1991-02-01,6035.178
1991-03-01,6035.178
1991-04-01,6126.862
1991-05-01,6126.862
1991-06-01,6126.862
1991-07-01,6205.937
1991-08-01,6205.937
1991-09-01,6205.937
1991-10-01,6264.54
1991-11-01,6264.54
1991-12-01,6264.54
1992-01-01,6363.102
1992-02-01,6363.102
1992-03-01,6363.102
1992-04-01,6470.763
1992-05-01,6470.763
1992-06-01,6470.763
1992-07-01,6566.641
1992-08-01,6566.641
1992-09-01,6566.641
1992-10-01,6680.803
1992-11-01,6680.803
1992-12-01,6680.803
1993-01-01,6729.459
1993-02-01,6729.459
1993-03-01,6729.459
1993-04-01,6808.939
1993-05-01,6808.939
1993-06-01,6808.939
1993-07-01,6882.098
1993-08-01,6882.098
1993-09-01,6882.098
1993-10-01,7013.738
1993-11-01,7013.738
1993-12-01,7013.738
1994-01-01,7115.652
1994-02-01,7115.652
1994-03-01,7115.652
1994-04-01,7246.931
1994-05-01,7246.931
1994-06-01,7246.931
1994-07-01,7331.075
1994-08-01,7331.075
1994-09-01,7331.075
1994-10-01,7455.288
1994-11-01,7455.288
1994-12-01,7455.288
1995-01-01,7522.289
1995-02-01,7522.289
1995-03-01,7522.289
1995-04-01,7580.997
1995-05-01,7580.997
1995-06-01,7580.997
1995-07-01,7683.125
1995-08-01,7683.125
1995-09-01,7683.125
1995-10-01,7772.586
1995-11-01,7772.586
1995-12-01,7772.586
1996-01-01,7868.468
1996-02-01,7868.468
1996-03-01,7868.468
1996-04-01,8032.84
1996-05-01,8032.84
1996-06-01,8032.84
1996-07-01,8131.408
1996-08-01,8131.408
1996-09-01,8131.408
1996-10-01,8259.771
1996-11-01,8259.771
1996-12-01,8259.771
1997-01-01,8362.655
1997-02-01,8362.655
1997-03-01,8362.655
1997-04-01,8518.825
1997-05-01,8518.825
1997-06-01,8518.825
1997-07-01,8662.823
1997-08-01,8662.823
1997-09-01,8662.823
1997-10-01,8765.907
1997-11-01,8765.907
1997-12-01,8765.907
1998-01-01,8866.48
1998-02-01,8866.48
1998-03-01,8866.48
1998-04-01,8969.699
1998-05-01,8969.699
1998-06-01,8969.699
1998-07-01,9121.097
1998-08-01,9121.097
1998-09-01,9121.097
1998-10-01,9293.991
1998-11-01,9293.991
1998-12-01,9293.991
1999-01-01,9411.682
1999-02-01,9411.682
1999-03-01,9411.682
1999-04-01,9526.21
1999-05-01,9526.21
1999-06-01,9526.21
1999-07-01,9686.626
1999-08-01,9686.626
1999-09-01,9686.626
1999-10-01,9900.169
1999-11-01,9900.169
1999-12-01,9900.169
2000-01-01,10002.179
2000-02-01,10002.179
2000-03-01,10002.179
2000-04-01,10247.72
2000-05-01,10247.72
2000-06-01,10247.72
2000-07-01,10318.165
2000-08-01,10318.165
2000-09-01,10318.165
2000-10-01,10435.744
2000-11-01,10435.744
2000-12-01,10435.744
2001-01-01,10470.231
2001-02-01,10470.231
2001-03-01,10470.231
2001-04-01,10599.0
2001-05-01,10599.0
2001-06-01,10599.0
2001-07-01,10598.02
2001-08-01,10598.02
2001-09-01,10598.02
2001-10-01,10660.465
2001-11-01,10660.465
2001-12-01,10660.465
2002-01-01,10783.5
2002-02-01,10783.5
2002-03-01,10783.5
2002-04-01,10887.46
2002-05-01,10887.46
2002-06-01,10887.46
2002-07-01,10984.04
2002-08-01,10984.04
2002-09-01,10984.04
2002-10-01,11061.433
2002-11-01,11061.433
2002-12-01,11061.433
2003-01-01,11174.129
2003-02-01,11174.129
2003-03-01,11174.129
2003-04-01,11312.766
2003-05-01,11312.766
2003-06-01,11312.766
2003-07-01,11566.669
2003-08-01,11566.669
2003-09-01,11566.669
2003-10-01,11772.234
2003-11-01,11772.234
2003-12-01,11772.234
2004-01-01,11923.447
2004-02-01,11923.447
2004-03-01,11923.447
2004-04-01,12112.815
2004-05-01,12112.815
2004-06-01,12112.815
2004-07-01,12305.307
2004-08-01,12305.307
2004-09-01,12305.307
2004-10-01,12527.214
2004-11-01,12527.214
2004-12-01,12527.214
2005-01-01,12767.286
2005-02-01,12767.286
2005-03-01,12767.286
2005-04-01,12922.656
2005-05-01,12922.656
2005-06-01,12922.656
2005-07-01,13142.642
2005-08-01,13142.642
2005-09-01,13142.642
2005-10-01,13324.204
2005-11-01,13324.204
2005-12-01,13324.204
2006-01-01,13599.16
2006-02-01,13599.16
2006-03-01,13599.16
